name,country,admin1,Mass gathering restrictions,Stay at Home Order,Educational facilities closed,Initial business closures,Non-essential services closed,Travel severely limited,Source Mass gathering restrictions,Source Stay at Home Order,Source Educational facilities closed,Source Initial business closure,Source Non-essential services closed,Source Travel severely limited
Delaware,USA,Delaware,16.03.2020,24.03.2020,16.03.2020,16.03.2020,24.03.2020,not implemented,https://governor.delaware.gov/wp-content/uploads/sites/24/2020/03/State-of-Emergency_Modified-03162020.pdf,https://governor.delaware.gov/wp-content/uploads/sites/24/2020/03/Fifth-Modification-to-State-of-Emergency-03222020.pdf,https://governor.delaware.gov/wp-content/uploads/sites/24/2020/03/School-Letter-Governor-Carney-03132020.pdf,https://governor.delaware.gov/wp-content/uploads/sites/24/2020/03/Second-Modification-to-the-State-of-Emergency.pdf,https://governor.delaware.gov/wp-content/uploads/sites/24/2020/03/Fourth-Modification-to-State-of-Emergency-03222020.pdf,
Florida,USA,Florida,03.04.2020,03.04.2020,17.03.2020,17.03.2020,not implemented,not implemented,https://www.flgov.com/wp-content/uploads/orders/2020/EO_20-91-compressed.pdf,https://www.flgov.com/wp-content/uploads/orders/2020/EO_20-91-compressed.pdf,http://www.fldoe.org/newsroom/latest-news/florida-department-of-education-announces-additional-guidance-for-the-2019-20-school-year.stml,https://www.flgov.com/wp-content/uploads/orders/2020/EO_20-68.pdf,,
Georgia,USA,Georgia,24.03.2020,03.04.2020,18.03.2020,24.03.2020,not implemented,not implemented,https://gov.georgia.gov/document/2020-executive-order/03232001/download,https://gov.georgia.gov/document/2020-executive-order/04022001/download,https://gov.georgia.gov/document/2020-executive-order/03162001/download,https://gov.georgia.gov/document/2020-executive-order/03232001/download,,
Hawaii,USA,Hawaii,17.03.2020,25.03.2020,19.03.2020,17.03.2020,25.03.2020,not implemented,https://governor.hawaii.gov/newsroom/latest-news/proper-use-of-covid-19-tests-imperative-there-is-a-current-shortage-of-hand-sanitizers-and-toilet-paper-in-hawaii-in-part-because-of-the-publics-over-reaction-to-covid-19-the-hawai/,https://hawaiicovid19.com/statewide-stay-at-home-order-effective-march-25-2020-through-april-30-2020/,http://www.hawaiipublicschools.org/ConnectWithUs/MediaRoom/PressReleases/Pages/HIDOE-extends-school-closures-implements-remote-work-to-maintain-essential-functions.aspx,https://governor.hawaii.gov/newsroom/latest-news/proper-use-of-covid-19-tests-imperative-there-is-a-current-shortage-of-hand-sanitizers-and-toilet-paper-in-hawaii-in-part-because-of-the-publics-over-reaction-to-covid-19-the-hawai/,https://hawaiicovid19.com/wp-content/uploads/2020/03/2003162-ATG_Third-Supplementary-Proclamation-for-COVID-19-signed-12.pdf,
Idaho,USA,Idaho,full implementation,25.03.2020,23.03.2020,full implementation,25.03.2020,not implemented,https://coronavirus.idaho.gov/wp-content/uploads/sites/127/2020/04/amended-statewide-stay-home-order_041520.pdf,https://coronavirus.idaho.gov/wp-content/uploads/sites/127/2020/04/amended-statewide-stay-home-order_041520.pdf,https://boardofed.idaho.gov/resources/covid-19-school-operations-guidance/,https://coronavirus.idaho.gov/wp-content/uploads/sites/127/2020/04/amended-statewide-stay-home-order_041520.pdf,https://coronavirus.idaho.gov/wp-content/uploads/sites/127/2020/04/amended-statewide-stay-home-order_041520.pdf,
Illinois,USA,Illinois,13.03.2020,21.03.2020,17.03.2020,16.03.2020,21.03.2020,not implemented,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-04.aspx,https://www2.illinois.gov/IISNews/21288-Gov._Pritzker_Stay_at_Home_Order.pdf,https://www2.illinois.gov/Documents/ExecOrders/2020/ExecutiveOrder-2020-05.pdf,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-07.aspx,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-10.aspx,https://www2.illinois.gov/IISNews/21288-Gov._Pritzker_Stay_at_Home_Order.pdf
Indiana,USA,Indiana,12.03.2020,25.03.2020,19.03.2020,16.03.2020,24.03.2020,not implemented,https://calendar.in.gov/site/gov/event/gov-holcomb-announces-new-steps-to-protect-public-from-covid-19/,https://www.in.gov/gov/files/Executive_Order_20-08_Stay_at_Home.pdf,https://www.doe.in.gov/sites/default/files/health/idoe-covid-19-update-3192020.pdf,https://www.in.gov/gov/files/ExecutiveOrder20-04FurtherOrdersforPublicHealthEmergency.pdf,https://www.in.gov/gov/files/Executive_Order_20-08_Stay_at_Home.pdf,
Iowa,USA,Iowa,17.03.2020,not implemented,04.04.2020,17.03.2020,not implemented,not implemented,https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.03.17.pdf,,https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Disaster%20Proclamation%20-%202020.04.02.pdf,https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.03.17.pdf,,
Kansas,USA,Kansas,17.03.2020,30.03.2020,17.03.2020,not implemented,not implemented,not implemented,https://governor.kansas.gov/wp-content/uploads/2020/03/20-04-Executed.pdf,https://governor.kansas.gov/wp-content/uploads/2020/03/EO20-16.pdf,https://governor.kansas.gov/wp-content/uploads/2020/03/EO-20-07-Executed.pdf,,,
Kentucky,USA,Kentucky,19.03.2020,not implemented,20.03.2020,16.03.2020,26.03.2020,not implemented,https://governor.ky.gov/attachments/20200319_Order_Mass-Gatherings.pdf,,https://content.govdelivery.com/accounts/KYDE/bulletins/28181c1,https://governor.ky.gov/attachments/20200316_Order_Restaurant-Closure.pdf,https://governor.ky.gov/attachments/20200325_Executive-Order_2020-257_Healthy-at-Home.pdf,
Louisiana,USA,Louisiana,13.03.2020,23.03.2020,16.03.2020,17.03.2020,22.03.2020,not implemented,https://gov.louisiana.gov/assets/ExecutiveOrders/27-JBE-2020-COVID-19.pdf,https://gov.louisiana.gov/index.cfm/newsroom/detail/2427,https://gov.louisiana.gov/assets/ExecutiveOrders/27-JBE-2020-COVID-19.pdf,https://gov.louisiana.gov/assets/ExecutiveOrders/JBE-EO-30.pdf,https://gov.louisiana.gov/assets/Proclamations/2020/JBE-33-2020.pdf,
Maine,USA,Maine,18.03.2020,02.04.2020,16.03.2020,18.03.2020,25.03.2020,not implemented,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/Executive%20Order%20to%20Protect%20Public%20Health%20.pdf,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/CORRECTED_An%20Order%20Regarding%20Further%20Restrictions%20on%20Public%20Contact%20and%20Movement%2C%20Schools%2C%20Vehicle%20Travel%20and%20Retail%20Business%20Operations.pdf,https://www.wmtw.com/article/maine-school-closures-coronavirus-covid19/31619144,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/Executive%20Order%20to%20Protect%20Public%20Health%20.pdf,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/An%20Order%20Regarding%20Essential%20Businesses%20and%20Operations%20_0.pdf,
Maryland,USA,Maryland,16.03.2020,30.03.2020,16.03.2020,16.03.2020,23.03.2020,not implemented,https://governor.maryland.gov/wp-content/uploads/2020/03/Executive-Order-Amending-Large-Gatherings.pdf,https://governor.maryland.gov/wp-content/uploads/2020/03/Gatherings-FOURTH-AMENDED-3.30.20.pdf,http://marylandpublicschools.org/Pages/default.aspx,https://governor.maryland.gov/wp-content/uploads/2020/03/Executive-Order-Amending-Large-Gatherings.pdf,https://governor.maryland.gov/wp-content/uploads/2020/03/Gatherings-THIRD-AMENDED-3.23.20.pdf,
Massachusetts,USA,Massachusetts,13.03.2020,not implemented,17.03.2020,17.03.2020,24.03.2020,not implemented,https://www.mass.gov/doc/order-prohibiting-gatherings-of-more-than-250-people/download,,https://www.mass.gov/info-details/covid-19-state-of-emergency,https://www.mass.gov/doc/march-16-2020-large-gathering-at-25-people-order/download,https://www.mass.gov/doc/march-23-2020-essential-services-and-revised-gatherings-order/download,
Michigan,USA,Michigan,13.03.2020,24.03.2020,16.03.2020,16.03.2020,23.03.2020,not implemented,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-521595--,00.html","https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-522626--,00.html","https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-521595--,00.html","https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-521789--,00.html","https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-522626--,00.html",
Minnesota,USA,Minnesota,24.03.2020,27.03.2020,18.03.2020,17.03.2020,not implemented,not implemented,https://www.sos.ms.gov/Education-Publications/ExecutiveOrders/1463.pdf,https://www.leg.state.mn.us/archive/execorders/20-20.pdf,https://education.mn.gov/mde/index.html,https://mn.gov/governor/assets/2020_03_16_EO_20_04_Bars_Restaurants_tcm1055-423380.pdf,,
Mississippi,USA,Mississippi,24.03.2020,03.04.2020,19.03.2020,24.03.2020,03.04.2020,not implemented,https://www.sos.ms.gov/Education-Publications/ExecutiveOrders/1463.pdf,https://www.sos.ms.gov/Education-Publications/ExecutiveOrders/1466.pdf,https://www.sos.ms.gov/Pages/Gov--Reeves-Announces-Extended-School-Closures.aspx,https://www.sos.ms.gov/Education-Publications/ExecutiveOrders/1463.pdf,https://www.sos.ms.gov/Education-Publications/ExecutiveOrders/1466.pdf,
Missouri,USA,Missouri,23.03.2020,06.04.2020,23.03.2020,23.03.2020,not implemented,not implemented,https://governor.mo.gov/press-releases/archive/governor-parson-directs-dhss-director-require-social-distancing-statewide,https://content.govdelivery.com/attachments/MOGOV/2020/04/03/file_attachments/1419322/Stay%20at%20Home%20Missouri%20Order.pdf,https://dese.mo.gov/communications/coronavirus-covid-19-information,https://governor.mo.gov/press-releases/archive/governor-parson-directs-dhss-director-require-social-distancing-statewide,,
Montana,USA,Montana,24.03.2020,26.03.2020,15.03.2020,20.03.2020,26.03.2020,not implemented,http://governor.mt.gov/Portals/16/Closure%20Extensions%20and%20Social%20Distancing.pdf?ver=2020-03-24-164313-497,https://covid19.mt.gov/Portals/223/Documents/Stay%20at%20Home%20Directive.pdf?ver=2020-03-26-173332-177,https://news.mt.gov/governor-bullock-directs-the-closure-of-public-k-12-schools-for-two-weeks-strongly-recommends-social-distancing-measures-to-slow-the-spread-of-covid-19,http://governor.mt.gov/Portals/16/Directive%20on%20Bars%20and%20Restaurants.pdf?ver=2020-03-20-101314-937,https://covid19.mt.gov/Portals/223/Documents/Stay%20at%20Home%20Directive.pdf?ver=2020-03-26-173332-177,
Nebraska,USA,Nebraska,16.03.2020,not implemented,02.04.2020,19.03.2020,not implemented,not implemented,https://governor.nebraska.gov/press/gov-ricketts-further-limits-events-gatherings-prevent-covid-19-spread,,https://www.education.ne.gov/publichealth/known-school-closures/,https://www.dropbox.com/s/sk95elfp6bnefsv/DHM%203.19.2020.pdf?dl=1,,
Nevada,USA,Nevada,24.03.2020,31.03.2020,16.03.2020,18.03.2020,21.03.2020,not implemented,http://gov.nv.gov/News/Emergency_Orders/2020/2020-03-24_-_COVID-19_Declaration_of_Emergency_Directive_007/,http://gov.nv.gov/News/Emergency_Orders/2020/2020-03-31_-_COVID-19_Declaration_of_Emergency_Directive_010_-_Stay_at_Home_Order/,http://www.doe.nv.gov/uploadedFiles/ndedoenvgov/content/home/DeclarationofEmergencyDirectiveSchools.pdf,http://gov.nv.gov/News/Emergency_Orders/2020/2020-03-18_-_COVID-19_Declaration_of_Emergency_Directive_002/,http://gov.nv.gov/News/Emergency_Orders/2020/2020-03-20_-_COVID-19_Declaration_of_Emergency_Directive_003/,
New Hampshire,USA,New Hampshire,16.03.2020,27.03.2020,16.03.2020,16.03.2020,28.03.2020,not implemented,https://www.governor.nh.gov/news-media/emergency-orders/documents/emergency-order-2.pdf,https://www.governor.nh.gov/news-media/emergency-orders/documents/emergency-order-17-1.pdf,https://www.governor.nh.gov/news-media/emergency-orders/,https://www.governor.nh.gov/news-media/emergency-orders/documents/emergency-order-2.pdf,https://www.governor.nh.gov/news-media/emergency-orders/documents/emergency-order-17-1.pdf,
New Jersey,USA,New Jersey,16.03.2020,21.03.2020,18.03.2020,16.03.2020,21.03.2020,not implemented,https://nj.gov/infobank/eo/056murphy/pdf/EO-104.pdf,https://nj.gov/infobank/eo/056murphy/pdf/EO-107.pdf,https://nj.gov/infobank/eo/056murphy/pdf/EO-104.pdf,https://nj.gov/infobank/eo/056murphy/pdf/EO-104.pdf,https://nj.gov/infobank/eo/056murphy/pdf/EO-107.pdf,
New Mexico,USA,New Mexico,12.03.2020,not implemented,13.03.2020,16.03.2020,24.03.2020,not implemented,https://www.governor.state.nm.us/wp-content/uploads/2020/03/03.12.20_PublicHealthOrder.pdf,,https://www.governor.state.nm.us/wp-content/uploads/2020/03/Exeuctive-Order-2020-010.pdf,https://www.governor.state.nm.us/wp-content/uploads/2020/03/AMENDED-PUBLIC-HEALTH-ORDER.pdf,https://www.governor.state.nm.us/wp-content/uploads/2020/03/SIGNED_UPDATED_DOH_PHO.pdf,
New York,USA,New York,12.03.2020,23.03.2020,18.03.2020,16.03.2020,22.03.2020,not implemented,https://www.governor.ny.gov/sites/governor.ny.gov/files/atoms/files/EO_202_1.pdf,https://www.governor.ny.gov/news/governor-cuomo-signs-new-york-state-pause-executive-order,https://www.governor.ny.gov/news/no-2024-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,https://www.governor.ny.gov/sites/governor.ny.gov/files/atoms/files/EO_202.3.pdf,https://www.governor.ny.gov/news/governor-cuomo-signs-new-york-state-pause-executive-order,
New York City-New York,USA,New York,12.03.2020,23.03.2020,18.03.2020,16.03.2020,22.03.2020,not implemented,https://www.governor.ny.gov/sites/governor.ny.gov/files/atoms/files/EO_202_1.pdf,https://www.governor.ny.gov/news/governor-cuomo-signs-new-york-state-pause-executive-order,https://www.governor.ny.gov/news/no-2024-continuing-temporary-suspension-and-modification-laws-relating-disaster-emergency,https://www.governor.ny.gov/sites/governor.ny.gov/files/atoms/files/EO_202.3.pdf,https://www.governor.ny.gov/news/governor-cuomo-signs-new-york-state-pause-executive-order,
North Carolina,USA,North Carolina,14.03.2020,30.03.2020,14.03.2020,17.03.2020,30.03.2020,not implemented,https://files.nc.gov/governor/documents/files/EO117-COVID-19-Prohibiting-Mass-Gathering-and-K12-School-Closure.pdf,https://files.nc.gov/governor/documents/files/EO121-Stay-at-Home-Order-3.pdf,https://drive.google.com/file/d/1dWPbWQxBeWQO5Hzgh2k9miKYehQlj3FN/view,https://files.nc.gov/governor/documents/files/EO118.pdf,https://files.nc.gov/governor/documents/files/EO121-Stay-at-Home-Order-3.pdf,
North Dakota,USA,North Dakota,not implemented,not implemented,16.03.2020,20.03.2020,not implemented,not implemented,,,https://www.governor.nd.gov/sites/www/files/documents/Executive%20Order%202020-04%20COVID-19%20school%20closing.pdf,https://www.governor.nd.gov/sites/www/files/documents/executive-orders/Executive%20Order%202020-06.pdf,,
Ohio,USA,Ohio,12.03.2020,23.03.2020,16.03.2020,15.03.2020,23.03.2020,not implemented,https://coronavirus.ohio.gov/wps/wcm/connect/gov/b815ab52-a571-4e65-9077-32468779671a/ODH+Order+to+Limit+and+Prohibit+Mass+Gatherings%2C+3.12.20.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_M1HGGIK0N0JO00QO9DDDDM3000-b815ab52-a571-4e65-9077-32468779671a-n3rr.X.,https://coronavirus.ohio.gov/static/DirectorsOrderStayAtHome.pdf,https://governor.ohio.gov/wps/portal/gov/governor/media/news-and-media/announces-school-closures,"https://content.govdelivery.com/attachments/OHOOD/2020/03/15/file_attachments/1401428/Health%20Director%20Order%20Limit%20Food,%20Alcohol%20Sales%20to%20Carry%20Out%20Delivery%20Only.pdf",https://content.govdelivery.com/attachments/OHOOD/2020/03/22/file_attachments/1407840/Stay%20Home%20Order.pdf,
Oklahoma,USA,Oklahoma,24.03.2020,not implemented,17.03.2020,full implementation,01.04.2020,not implemented,https://www.sos.ok.gov/documents/executive/1919.pdf,,https://sde.ok.gov/sites/default/files/FAQS%20FOR%20PUBLIC%20SCHOOLS%20-%20COVID-19.pdf,https://www.sos.ok.gov/documents/executive/1919.pdf,https://www.sos.ok.gov/documents/executive/1919.pdf,
Oregon,USA,Oregon,12.03.2020,23.03.2020,16.03.2020,17.03.2020,not implemented,not implemented,https://www.oregon.gov/gov/Documents/executive_orders/eo_20-05.pdf,https://govsite-assets.s3.amazonaws.com/jkAULYKcSh6DoDF8wBM0_EO%2020-12.pdf,https://drive.google.com/file/d/1IR5fFOUxLJRDASrvkV-HyZWoi5IHlmXE/view,https://www.oregon.gov/gov/Documents/executive_orders/eo_20-07.pdf,,
Pennsylvania,USA,Pennsylvania,full implementation,01.04.2020,17.03.2020,18.03.2020,23.03.2020,not implemented,https://www.governor.pa.gov/newsroom/governor-wolf-and-health-secretary-issue-stay-at-home-orders-to-7-counties-to-mitigate-spread-of-covid-19/,https://www.governor.pa.gov/newsroom/governor-wolf-and-health-secretary-issue-stay-at-home-orders-to-7-counties-to-mitigate-spread-of-covid-19/,https://www.governor.pa.gov/newsroom/gov-wolf-puts-statewide-covid-19-mitigation-efforts-in-effect-stresses-need-for-every-pennsylvanian-to-take-action-to-stop-the-spread/,https://www.media.pa.gov/Pages/Liquor-Control-Board-Details.aspx?newsid=563,https://www.governor.pa.gov/wp-content/uploads/2020/03/20200319-TWW-COVID-19-business-closure-order.pdf,
Rhode Island,USA,Rhode Island,17.03.2020,28.03.2020,16.03.2020,17.03.2020,not implemented,not implemented,http://www.governor.ri.gov/documents/orders/Executive-Order-20-04.pdf,http://www.governor.ri.gov/documents/orders/Executive-Order-20-14.pdf,https://www.ride.ri.gov/Portals/0/Uploads/Documents/FAQEnglish.pdf,http://www.governor.ri.gov/documents/orders/Executive-Order-20-04.pdf,http://www.governor.ri.gov/documents/orders/Executive-Order-20-14.pdf,
South Carolina,USA,South Carolina,18.03.2020,07.04.2020,16.03.2020,18.03.2020,not implemented,not implemented,https://governor.sc.gov/sites/default/files/Documents/Executive-Orders/2020-03-17%20eFILED%20Executive%20Order%20No.%202020-10%20-%20Directing%20Additional%20Emergency%20Measures%20Due%20to%20COVID-19.pdf,https://governor.sc.gov/sites/default/files/Documents/Executive-Orders/2020-04-06%20eFILED%20Executive%20Order%20No.%202020-21%20-%20Stay%20at%20Home%20or%20Work%20Order.pdf,https://governor.sc.gov/sites/default/files/Documents/Executive-Orders/2020-03-15%20FILED%20Executive%20Order%20No.%202020-09%20-%20Closing%20Schools%20Cancelling%20Elections%20Other%20Provisions%20Due%20to%20COVID-19.pdf,https://governor.sc.gov/sites/default/files/Documents/Executive-Orders/2020-03-17%20eFILED%20Executive%20Order%20No.%202020-10%20-%20Directing%20Additional%20Emergency%20Measures%20Due%20to%20COVID-19.pdf,https://governor.sc.gov/sites/default/files/Documents/Executive-Orders/2020-03-31%20eFILED%20Executive%20Order%20No.%202020-17%20-%20Closure%20of%20Non-Essential%20Businesses.pdf,
South Dakota,USA,South Dakota,06.04.2020,not implemented,16.03.2020,not implemented,not implemented,not implemented,https://sdsos.gov/general-information/executive-actions/executive-orders/assets/2020-12.PDF,,https://www.youtube.com/watch?v=NIjuy-HlICw,,,
Tennessee,USA,Tennessee,23.03.2020,02.04.2020,20.03.2020,23.03.2020,01.04.2020,not implemented,https://sos-tn-gov-files.tnsosfiles.com/forms/exec-order-lee17.pdf,https://publications.tnsosfiles.com/pub/execorders/exec-orders-lee23.pdf,https://www.tn.gov/governor/news/2020/3/16/governor-lee-issues-statement-regarding-statewide-school-closure.html,https://sos-tn-gov-files.tnsosfiles.com/forms/exec-order-lee17.pdf,https://publications.tnsosfiles.com/pub/execorders/exec-orders-lee22.pdf,
Texas,USA,Texas,21.03.2020,02.04.2020,19.03.2020,21.03.2020,not implemented,not implemented,https://gov.texas.gov/uploads/files/press/EO-GA_08_COVID-19_preparedness_and_mitigation_FINAL_03-19-2020_1.pdf,https://gov.texas.gov/news/post/governor-abbott-issues-executive-order-implementing-essential-services-and-activities-protocols,https://gov.texas.gov/uploads/files/press/EO-GA_08_COVID-19_preparedness_and_mitigation_FINAL_03-19-2020_1.pdf,https://gov.texas.gov/uploads/files/press/EO-GA_08_COVID-19_preparedness_and_mitigation_FINAL_03-19-2020_1.pdf,,
Utah,USA,Utah,19.03.2020,not implemented,16.03.2020,19.03.2020,not implemented,not implemented,https://coronavirus.utah.gov/wp-content/uploads/Restaurant-Pub-Hlth-Order-1.pdf,https://rules.utah.gov/wp-content/uploads/Governors_Coronavirus_Directive_for_Utah.pdf,https://governor.utah.gov/2020/03/13/gov-herbert-announces-two-week-dismissal-of-utahs-public-schools/,https://coronavirus.utah.gov/wp-content/uploads/Restaurant-Pub-Hlth-Order-1.pdf,https://rules.utah.gov/wp-content/uploads/Governors_Coronavirus_Directive_for_Utah.pdf,
Vermont,USA,Vermont,13.03.2020,24.03.2020,18.03.2020,17.03.2020,25.03.2020,not implemented,https://governor.vermont.gov/sites/scott/files/documents/EO%2001-20%20Declaration%20of%20State%20of%20Emergency%20in%20Response%20to%20COVID-19%20and%20National%20Guard%20Call-Out.pdf,https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%206%20TO%20EXECUTIVE%20ORDER%2001-20.pdf,https://governor.vermont.gov/press-release/gov-scott-orders-orderly-closure-vermont-prek-12-schools-week,https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%202%20TO%20EXECUTIVE%20ORDER%2001-20_0.pdf,https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%206%20TO%20EXECUTIVE%20ORDER%2001-20.pdf,
Virginia,USA,Virginia,24.03.2020,30.03.2020,16.03.2020,17.03.2020,24.03.2020,not implemented,https://www.governor.virginia.gov/media/governorvirginiagov/executive-actions/EO-53-Temporary-Restrictions-Due-To-Novel-Coronavirus-(COVID-19).pdf,https://www.governor.virginia.gov/media/governorvirginiagov/executive-actions/EO-55-Temporary-Stay-at-Home-Order-Due-to-Novel-Coronavirus-(COVID-19).pdf,https://www.governor.virginia.gov/newsroom/all-releases/2020/march/headline-854442-en.html,https://www.governor.virginia.gov/media/governorvirginiagov/executive-actions/EO-53-Temporary-Restrictions-Due-To-Novel-Coronavirus-(COVID-19).pdf,https://www.governor.virginia.gov/media/governorvirginiagov/executive-actions/EO-53-Temporary-Restrictions-Due-To-Novel-Coronavirus-(COVID-19).pdf,
Washington,USA,Washington,11.03.2020,23.03.2020,13.03.2020,16.03.2020,25.03.2020,not implemented,https://www.governor.wa.gov/sites/default/files/20-07%20Coronavirus%20%28tmp%29.pdf,Complete sub-location set,Complete sub-location set,https://www.governor.wa.gov/sites/default/files/proclamations/20-13%20Coronavirus%20Restaurants-Bars%20%28tmp%29.pdf,cumulative of the State,
King-Washington,USA,Washington,11.03.2020,23.03.2020,13.03.2020,16.03.2020,25.03.2020,not implemented,https://www.governor.wa.gov/sites/default/files/20-07%20Coronavirus%20%28tmp%29.pdf,Complete sub-location set,Complete sub-location set,https://www.governor.wa.gov/sites/default/files/proclamations/20-13%20Coronavirus%20Restaurants-Bars%20%28tmp%29.pdf,cumulative of the State,
"Life Care Center, Kirkland, WA",USA,Washington,11.03.2020,17.03.2020,11.03.2020,16.03.2020,25.03.2020,17.03.2020,https://www.governor.wa.gov/sites/default/files/20-07%20Coronavirus%20%28tmp%29.pdf,https://www.governor.wa.gov/sites/default/files/proclamations/20-16%20Coronavirus%20No%20visitors%20LTC%20%28tmp%29.pdf,https://www.governor.wa.gov/sites/default/files/proclamations/20-08%20Coronavirus%20%28tmp%29.pdf,https://www.governor.wa.gov/sites/default/files/proclamations/20-13%20Coronavirus%20Restaurants-Bars%20%28tmp%29.pdf,https://www.governor.wa.gov/sites/default/files/proclamations/20-25%20Coronovirus%20Stay%20Safe-Stay%20Healthy%20%28tmp%29%20%28002%29.pdf,https://www.governor.wa.gov/sites/default/files/proclamations/20-16%20Coronavirus%20No%20visitors%20LTC%20%28tmp%29.pdf
"Other Counties, WA",USA,Washington,11.03.2020,23.03.2020,13.03.2020,16.03.2020,25.03.2020,not implemented,https://www.governor.wa.gov/sites/default/files/20-07%20Coronavirus%20%28tmp%29.pdf,https://www.governor.wa.gov/sites/default/files/proclamations/20-25%20Coronovirus%20Stay%20Safe-Stay%20Healthy%20%28tmp%29%20%28002%29.pdf,https://www.governor.wa.gov/news-media/inslee-announces-statewide-school-closures-expansion-limits-large-gatherings,https://www.governor.wa.gov/sites/default/files/proclamations/20-13%20Coronavirus%20Restaurants-Bars%20%28tmp%29.pdf,https://www.governor.wa.gov/sites/default/files/proclamations/20-25%20Coronovirus%20Stay%20Safe-Stay%20Healthy%20%28tmp%29%20%28002%29.pdf,
"King and Snohomish Counties (excluding Life Care Center), WA",USA,Washington,11.03.2020,23.03.2020,11.03.2020,16.03.2020,25.03.2020,not implemented,https://www.governor.wa.gov/sites/default/files/20-07%20Coronavirus%20%28tmp%29.pdf,https://www.governor.wa.gov/sites/default/files/proclamations/20-25%20Coronovirus%20Stay%20Safe-Stay%20Healthy%20%28tmp%29%20%28002%29.pdf,https://www.governor.wa.gov/sites/default/files/proclamations/20-08%20Coronavirus%20%28tmp%29.pdf,https://www.governor.wa.gov/sites/default/files/proclamations/20-13%20Coronavirus%20Restaurants-Bars%20%28tmp%29.pdf,https://www.governor.wa.gov/sites/default/files/proclamations/20-25%20Coronovirus%20Stay%20Safe-Stay%20Healthy%20%28tmp%29%20%28002%29.pdf,
,USA,Washington,11.03.2020,17.03.2020,11.03.2020,16.03.2020,25.03.2020,not implemented,https://www.governor.wa.gov/sites/default/files/20-07%20Coronavirus%20%28tmp%29.pdf,https://www.governor.wa.gov/sites/default/files/proclamations/20-16%20Coronavirus%20No%20visitors%20LTC%20%28tmp%29.pdf,https://www.governor.wa.gov/sites/default/files/proclamations/20-08%20Coronavirus%20%28tmp%29.pdf,https://www.governor.wa.gov/sites/default/files/proclamations/20-13%20Coronavirus%20Restaurants-Bars%20%28tmp%29.pdf,https://www.governor.wa.gov/sites/default/files/proclamations/20-25%20Coronovirus%20Stay%20Safe-Stay%20Healthy%20%28tmp%29%20%28002%29.pdf,https://www.governor.wa.gov/sites/default/files/proclamations/20-16%20Coronavirus%20No%20visitors%20LTC%20%28tmp%29.pdf
West Virginia,USA,West Virginia,24.03.2020,25.03.2020,14.03.2020,18.03.2020,24.03.2020,not implemented,https://www.wvinsurance.gov/Portals/0/pdf/pressrelease/WVStayHomeOrder.pdf?ver=2020-03-23-152606-773,https://www.wvinsurance.gov/Portals/0/pdf/pressrelease/WVStayHomeOrder.pdf?ver=2020-03-23-152606-773,"https://governor.wv.gov/News/press-releases/2020/Pages/COVID-19-UPDATE-Gov.-Justice,-Department-of-Education-issue-updated-guidance-on-school-closures-in-West-Virginia.aspx",https://governor.wv.gov/Documents/2020%20Executive%20Orders/Executive-Order-March-18-2020.pdf,https://www.wvinsurance.gov/Portals/0/pdf/pressrelease/WVStayHomeOrder.pdf?ver=2020-03-23-152606-773,
Wisconsin,USA,Wisconsin,17.03.2020,25.03.2020,18.03.2020,17.03.2020,25.03.2020,not implemented,https://content.govdelivery.com/accounts/WIGOV/bulletins/2817964,https://content.govdelivery.com/attachments/WIGOV/2020/03/24/file_attachments/1409408/Health%20Order%20%2312%20Safer%20At%20Home.pdf,https://evers.wi.gov/Documents/COVID19/K-12FAQ_3.15.20.pdf,https://evers.wi.gov/Documents/COVID19/UPDATEDOrder10People.pdf,https://content.govdelivery.com/attachments/WIGOV/2020/03/24/file_attachments/1409408/Health%20Order%20%2312%20Safer%20At%20Home.pdf,
